"variety","top_ten","stars","style_name","brand_name","country_name"
"Special Fried Curly Noodle","2012 #1","5","Pack","Indomie","Indonesia"
"Spicy Black Pepper","2012 #10","5","Pack","Koka","Singapore"
"Mi Goreng Jumbo Barbecue Chicken","2012 #2","5","Pack","Indomie","Indonesia"
"Yakisoba Noodles Karashi","2012 #3","5","Tray","Nissin","Japan"
"Chow Mein","2012 #4","5","Pack","Sapporo Ichiban","Japan"
"Kari Spesial","2012 #5","4.5","Pack","Mi Sedaap","Indonesia"
"Hyoubanya No Chukasoba Oriental","2012 #6","4.25","Pack","Myojo","Japan"
"Shin Ramyun Black","2012 #7","4.75","Pack","Nongshim","South Korea"
"Artificial Chicken","2012 #9","4.5","Pack","Doll","Hong Kong"
"Singapore Laksa La Mian","2013 #1","5","Pack","Prima Taste","Singapore"
"Instant Noodles Shrimp Creamy Tom Yum Flavour Jumbo Pack","2013 #10","5","Pack","Mama","Thailand"
"Singapore Curry La Mian","2013 #2","5","Pack","Prima Taste","Singapore"
"Mi Goreng Rendang (Import)","2013 #3","5","Pack","Indomie","Indonesia"
"Jinjja Jinjja Flamin' Hot & Nutty","2013 #4","5","Pack","Nongshim","USA"
"Ippeichan Yakisoba","2013 #6","4","Tray","Myojo","Japan"
"Kokomen Spicy Chicken","2013 #9","5","Pack","Paldo","South Korea"
"Penang White Curry Noodle","2014 #1","5","Pack","MyKuali","Malaysia"
"Instant Noodles Yentafo Tom Yum Mohfai Flavour","2014 #10","5","Pack","Mama","Thailand"
"Otafuku Okonomi Sauce Yakisoba","2014 #4","5","Tray","Sapporo Ichiban","Japan"
"Maesaengyitangmyun Baked Noodle","2014 #5","5","Pack","Samyang Foods","South Korea"
"Cheese Noodle","2014 #6","5","Pack","Paldo","South Korea"
"Chef Curry Laksa Flavour","2014 #7","5","Pack","Mamee","Malaysia"
"Singapore Chilli Crab La Mian","2014 #8","5","Pack","Prima Taste","Singapore"
"Soon Veggie Noodle Soup","2014 #9","5","Pack","Nongshim","South Korea"
"Penang Red Tom Yum Goong Noodle","2015 #1","5","Pack","MyKuali","Malaysia"
"Veggie Noodle Tomato Noodle With Vine Ripened Tomato Sauce","2015 #10","5","Pack","A-Sha Dry Noodle","Taiwan"
"Nyonya Curry Laksa","2015 #4","5","Pack","CarJEN","Malaysia"
"Chef Gold Recipe Mi Kari Seribu Rasa","2015 #6","5","Pack","Mamee","Malaysia"
"Penang Hokkien Prawn Noodle (New Improved Taste)","2015 #7","5","Pack","MyKuali","Malaysia"
"Oriental Style Instant Noodles Green Curry Flavour Jumbo Pack","2015 #8","5","Pack","Mama","Thailand"
"Gotsumori Sauce Yakisoba","2015 #9","5","Tray","Maruchan","Japan"
"Singapore Laksa Wholegrain La Mian","2016 #1","5","Pack","Prima Taste","Singapore"
"Instant Noodles Coconut Milk Flavour","2016 #10","5","Pack","MAMA","Myanmar"
"Singapore Curry Wholegrain La Mian","2016 #5","5","Pack","Prima Taste","Singapore"
"Tomato Beef Brisket Flavor Purple Potato Noodle","2016 #7","5","Pack","Wugudaochang","China"
"Juzz's Mee Creamy Chicken Flavour","2016 #8","5","Pack","Prima","Singapore"
"Scallion With Sichuan Pepper  Flavor","2016 #9","5","Pack","Tseng Noodles","Taiwan"
"Sanukiya Somen","Not listed","4.25","Bowl","Shirakiku","Japan"
"Yakisoba","Not listed","5","Tray","Nissin","Japan"
"Shrimp Wonton","Not listed","4","Pack","Doll","Hong Kong"
"Soy Flavor Noodle","Not listed","4.25","Pack","Paldo","South Korea"
"Udon","Not listed","4","Pack","Nongshim","South Korea"
"Bekse Curry","Not listed","4","Pack","Ottogi","South Korea"
"Demae Ramen Shoyu","Not listed","4","Pack","Nissin","Japan"
"Hwa Ramyun Soy Peptide","Not listed","4","Pack","Paldo","South Korea"
"Hyobanya No Yakisoba Sauce Flavor","Not listed","4.75","Tray","Myojo","Japan"
"Beef","Not listed","4","Pack","Samyang","South Korea"
"Daily Hot & Spicy Tom Yun","Not listed","4","Pack","Vina Acecook","Vietnam"
"Dosirac Pork","Not listed","4.125","Tray","Paldo","South Korea"
"Bowl Noodle Spicy Seafood","Not listed","4.25","Bowl","Nongshim","USA"
